,2021-Blockzilla,Website,rank,2014-Blockzilla,2015-Blockzilla,2016-Blockzilla,2017-Blockzilla,2018-Blockzilla,2019-Blockzilla,2020-Blockzilla
372,4,yelp.com,228.0,9,8,9,6,6,4,4
378,14,zol.com.cn,229.0,3,3,22,7,6,3,16
236,1,lazada.sg,230.0,5,6,17,15,1,1,1
111,8,businessinsider.com,232.0,11,0,12,0,24,26,6
248,12,ltn.com.tw,237.0,3,5,22,20,15,8,8
278,13,ozon.ru,238.0,11,3,0,7,9,1,1
115,4,chegg.com,239.0,3,4,6,15,14,9,5
161,6,globo.com,241.0,4,4,7,6,4,1,3
224,3,investopedia.com,242.0,9,19,13,3,31,6,6
45,7,spankbang.com,243.0,0,2,3,39,22,3,1
149,9,etoro.com,244.0,20,26,6,1,6,9,11
76,6,airbnb.com,246.0,11,10,15,29,31,79,71
172,4,google.ca,247.0,3,3,3,1,3,4,4
143,9,ebay.de,248.0,8,6,6,7,10,11,9
124,1,costco.com,249.0,1,1,2,2,3,3,1
109,8,bluehost.com,250.0,2,2,2,3,3,7,7
10,1,crypto.com,251.0,1,1,1,1,1,1,1
44,1,shaparak.ir,254.0,2,1,1,4,4,1,1
200,1,hepsiburada.com,255.0,7,1,1,1,8,2,1
321,3,taboola.com,257.0,1,4,5,6,5,5,5
165,2,foxnews.com,258.0,10,6,6,8,18,5,1
291,11,rakuten.com,260.0,29,29,26,13,7,7,9
35,0,padlet.com,261.0,1,1,1,1,1,3,2
226,5,investing.com,262.0,29,16,21,21,12,6,7
354,1,wikimedia.org,263.0,1,1,1,1,1,1,1
308,1,shutterstock.com,264.0,3,3,6,1,2,1,1
250,2,mercadolibre.com.mx,265.0,4,3,3,1,1,2,1
181,4,google.com.sa,266.0,1,1,1,1,3,4,4
186,5,google.com.mx,270.0,3,3,3,1,3,4,4
289,8,realtor.com,271.0,14,6,28,22,11,7,18
185,4,google.com.eg,274.0,1,3,1,3,1,4,4
51,3,themeforest.net,275.0,9,11,4,4,1,1,2
324,5,suara.com,276.0,1,4,11,5,0,3,7
266,2,nike.com,277.0,2,10,10,0,3,3,9
79,18,albawabhnews.com,280.0,19,2,20,19,19,26,14
258,1,namasha.com,283.0,4,1,1,1,1,1,1
207,3,icicibank.com,286.0,8,5,3,3,3,2,4
182,4,google.com.ar,288.0,3,3,3,1,3,4,4
287,1,proiezionidiborsa.it,289.0,28,34,43,33,45,18,29
350,7,usps.com,290.0,10,8,8,6,5,7,7
318,1,sonhoo.com,292.0,1,2,2,2,2,1,3
205,1,gusuwang.com,294.0,11,3,2,2,2,2,1
142,11,ebay.co.uk,296.0,7,9,5,5,11,13,11
68,4,wordpress.org,297.0,4,4,7,6,6,3,1
177,4,google.co.th,299.0,3,3,1,1,3,4,4
125,1,coupang.com,303.0,3,1,1,1,1,1,1
93,65,aol.com,306.0,30,23,31,32,47,29,21
194,4,google.pl,307.0,3,3,3,1,3,4,4
233,3,kohls.com,308.0,11,13,3,13,11,1,3
15,1,evernote.com,313.0,3,5,1,4,5,1,1
337,1,tripadvisor.com,316.0,1,1,1,5,5,6,0
264,10,nfl.com,320.0,6,3,3,3,1,2,2
292,5,redfin.com,322.0,13,7,3,2,5,4,2
170,4,google.co.id,324.0,1,3,3,1,3,4,4
141,5,eatthis.com,325.0,5,5,7,6,7,9,12
322,4,ssense.com,327.0,7,6,6,9,2,2,5
375,1,zerodha.com,328.0,1,2,4,1,4,1,1
86,6,amazon.es,330.0,2,2,3,3,3,10,7
281,5,patreon.com,331.0,9,6,4,4,1,1,1
305,13,setn.com,333.0,3,8,9,9,10,19,20
159,2,formula1.com,334.0,3,3,3,1,4,13,14
29,3,heavy.com,335.0,6,6,4,20,9,5,16
61,8,web.de,337.0,1,1,1,1,6,3,5
254,1,myntra.com,338.0,6,3,2,4,3,1,1
208,2,ibicn.com,343.0,3,3,7,4,2,2,2
120,5,cnbc.com,344.0,26,25,20,2,4,6,6
33,2,medium.com,345.0,2,2,2,2,1,1,2
1,1,1337x.to,347.0,1,1,1,2,1,1,1
