,2017-Blockzilla,Website,rank
298,3,google.com,1
551,5,youtube.com,2
446,3,qq.com,4
170,1,baidu.com,5
482,10,sohu.com,6
253,1,facebook.com,7
359,2,jd.com,9
7,1,360.cn,10
147,7,amazon.com,11
549,1,yahoo.com,12
537,1,wikipedia.org,14
476,18,sina.com.cn,15
416,4,netflix.com,16
562,0,xinhuanet.com,17
341,5,instagram.com,20
142,1,alipay.com,21
294,1,google.com.hk,22
559,1,zhanqi.tv,23
433,1,panda.tv,25
178,1,bing.com,27
111,4,vk.com,28
190,5,canva.com,29
558,1,yahoo.co.jp,32
519,2,twitch.tv,34
90,4,stackoverflow.com,35
565,7,zoom.us,36
428,5,office.com,37
552,3,yy.com,38
139,4,aliexpress.com,39
498,1,tianya.cn,40
152,4,amazon.in,41
237,2,ebay.com,42
14,14,chaturbate.com,43
144,2,amazon.co.jp,44
404,5,naver.com,45
3,1,17ok.com,48
528,2,whatsapp.com,49
136,3,adobe.com,50
374,4,linkedin.com,51
485,1,so.com,52
556,5,yandex.ru,53
477,1,shopify.com,54
159,10,aparat.com,55
504,1,tiktok.com,56
123,8,wordpress.com,57
508,2,tradingview.com,58
63,0,ok.ru,59
249,5,etsy.com,60
59,2,mail.ru,61
335,3,imdb.com,63
442,6,pornhub.com,65
509,7,tribunnews.com,66
285,2,google.co.in,67
574,3,xhamster.com,68
336,4,indeed.com,69
239,9,espn.com,70
432,1,paypal.com,71
447,3,rakuten.co.jp,72
161,6,apple.com,73
544,1,xvideos.com,75
130,3,6.cn,76
536,7,walmart.com,77
146,3,amazon.de,78
184,7,booking.com,79
288,0,gome.com.cn,81
295,3,google.com.br,82
40,1,github.com,84
160,66,babytree.com,85
521,2,udemy.com,86
103,1,telegram.org,87
224,21,dropbox.com,88
191,6,chase.com,90
440,11,pikiran-rakyat.com,91
203,3,cnblogs.com,92
140,3,alibaba.com,94
456,6,roblox.com,95
283,3,google.co.jp,96
261,9,flipkart.com,98
322,18,hao123.com,99
443,1,primevideo.com,101
271,7,freepik.com,102
448,3,rednet.cn,103
117,31,163.com,105
339,2,instructure.com,106
313,10,hotstar.com,107
166,4,bestbuy.com,108
309,3,google.de,109
179,0,bilibili.com,110
222,2,digikala.com,111
441,6,pinterest.com,112
168,7,bbc.com,113
304,1,google.es,114
281,3,godaddy.com,116
254,13,ettoday.net,118
307,1,google.ru,119
465,23,salesforce.com,120
22,2,coinmarketcap.com,122
522,5,tumblr.com,124
303,3,grammarly.com,126
89,7,soundcloud.com,127
563,7,zillow.com,128
571,1,zoho.com,129
93,2,stackexchange.com,130
337,2,ilovepdf.com,131
199,50,cnn.com,132
531,7,w3schools.com,133
369,39,kompas.com,134
414,5,nih.gov,135
310,1,google.it,136
131,3,51.la,138
87,5,slack.com,139
438,11,pixnet.net,140
167,8,bbc.co.uk,141
306,1,google.com.tw,142
219,0,detik.com,143
354,1,jiameng.com,144
487,6,speedtest.net,146
497,9,target.com,147
145,2,aliyun.com,148
325,16,hulu.com,149
293,1,google.com.sg,150
437,10,pexels.com,151
216,6,daum.net,152
258,3,fiverr.com,153
119,3,wetransfer.com,155
15,0,archive.org,156
173,2,bet9ja.com,158
540,5,wix.com,160
560,15,zendesk.com,161
202,1,cnet.com,162
69,1,onlinesbi.com,163
344,10,indiatimes.com,164
384,1,mercari.com,165
61,9,pixabay.com,166
455,1,researchgate.net,167
29,1,envato.com,168
538,2,xnxx.com,169
171,1,bet365.com,170
251,7,farfetch.com,171
25,1,duckduckgo.com,172
507,17,trendyol.com,173
44,7,hbomax.com,174
421,10,okezone.com,175
503,1,tudou.com,176
393,4,mediafire.com,177
154,2,americanexpress.com,178
47,4,kumparan.com,179
473,4,sindonews.com,180
104,3,tistory.com,181
105,2,unsplash.com,182
149,3,amazon.it,184
92,4,smallpdf.com,185
23,0,deepl.com,186
320,1,homedepot.com,187
480,1,sogou.com,188
73,4,quizlet.com,189
348,2,intuit.com,190
468,7,slideshare.net,194
273,18,geeksforgeeks.org,195
164,10,avito.ru,197
460,10,scribd.com,198
196,8,chess.com,199
316,6,hdfcbank.com,200
557,8,youm7.com,201
287,3,google.co.uk,203
377,3,macys.com,204
