,category_filtered,2014-Blockzilla,2015-Blockzilla,2016-Blockzilla,2017-Blockzilla,2018-Blockzilla,2019-Blockzilla,2020-Blockzilla,2021-Blockzilla
88, Portal Sites ,0,0,6,0,0,0,0,0
89, Portal Sites ,0,0,0,7,0,0,0,0
90, Portal Sites ,0,0,0,0,11,0,0,0
91, Portal Sites ,0,0,0,0,0,10,0,0
92, Portal Sites ,0,0,0,0,0,0,8,0
93, Portal Sites ,0,0,0,0,0,0,0,2
94, Potential Illegal Software,0,12,0,0,0,0,0,0
95, Potential Illegal Software,0,0,0,0,1,0,0,0
96, Potential Illegal Software,0,0,0,0,0,1.666666667,0,0
97, Potential Illegal Software,0,0,0,0,0,0,4.25,0
98, Potential Illegal Software,0,0,0,0,0,0,0,3.2
99, Public Information ,0,4,0,0,0,0,0,0
100, Public Information ,0,0,1,0,0,0,0,0
101, Public Information ,0,0,0,9,0,0,0,0
102, Public Information ,0,0,0,0,9,0,0,0
103, Public Information ,0,0,0,0,0,0,4,0
104, Text Translators,0,9,0,0,0,0,0,0
105, Web Mail,0,1,0,0,0,0,0,0
106, Web Mail,0,0,1,0,0,0,0,0
107, Web Mail,0,0,0,4,0,0,0,0
108, Web Mail,0,0,0,0,1,0,0,0
109, Web Mail,0,0,0,0,0,1,0,0
110, Web Mail,0,0,0,0,0,0,0,1
111, Gambling,0,0,1.5,0,0,0,0,0
112, Gambling,0,0,0,1.5,0,0,0,0
113, Gambling,0,0,0,0,1.5,0,0,0
114, Gambling,0,0,0,0,0,1.5,0,0
115, Gambling,0,0,0,0,0,0,1.5,0
116, Gambling,0,0,0,0,0,0,0,0.5
117, Resource Sharing,0,0,0,1,0,0,0,0
118, Resource Sharing,0,0,0,0,1,0,0,0
119, Resource Sharing,0,0,0,0,0,0,1,0
120, Resource Sharing,0,0,0,0,0,0,0,1
